document,section_table,metric,canonical_full_precision_value,required_display,actual_display,status
manuscript,Table 3,State-clustered standard errors: global chi-square,14.417923893894931,14.42,14.42,PASS
manuscript,Table 3,State-clustered standard errors: contrast,0.2759584405062885,0.28,0.28,PASS
manuscript,Table 3,State-clustered standard errors: contrast P,0.3326217125438833,0.333,.333,PASS
manuscript,Table 3,CMS ownership substituted: global chi-square,48.91910369684257,48.92,48.92,PASS
manuscript,Table 3,CMS ownership substituted: contrast,0.3193092410445695,0.32,0.32,PASS
manuscript,Table 3,CMS ownership substituted: contrast P,0.1439753559736425,0.144,0.144,PASS
manuscript,Table 3,Fractional logit average marginal effect: global chi-square,30.196397114627043,30.20,30.20,PASS
manuscript,Table 3,Fractional logit average marginal effect: contrast,0.2890185219058537,0.29,.29,PASS
manuscript,Table 3,Fractional logit average marginal effect: contrast P,0.1763812827860402,0.176,.176,PASS
manuscript,Table 3,Unweighted complete-covariate complete case: global chi-square,30.31289614791756,30.31,30.31,PASS
manuscript,Table 3,Unweighted complete-covariate complete case: contrast,0.2337424100656484,0.23,0.23,PASS
manuscript,Table 3,Unweighted complete-covariate complete case: contrast P,0.2763191395043272,0.276,.276,PASS
manuscript,Table 3,2025 ONC responses only: global chi-square,31.04239164121205,31.04,31.04,PASS
manuscript,Table 3,2025 ONC responses only: contrast,0.3432782862729995,0.34,0.34,PASS
manuscript,Table 3,2025 ONC responses only: contrast P,0.1391967830254428,0.139,0.139,PASS
manuscript,Table 3,Exclude all-zero coded profile: global chi-square,26.335148575769907,26.34,26.34,PASS
manuscript,Table 3,Exclude all-zero coded profile: contrast,0.2488730447400484,0.25,0.25,PASS
manuscript,Table 3,Exclude all-zero coded profile: contrast P,0.2513800770917624,0.251,0.251,PASS
manuscript,manuscript/controlled correction,Minimum ESS,2364.4394304983816,"2,364.4","2,364.4",PASS
manuscript,manuscript/controlled correction,Maximum raw weight,15.351532358100076,15.35,15.35,PASS
manuscript,manuscript/controlled correction,Maximum post-weighting within-stratum |SMD|,0.176509,0.177,0.177,PASS
manuscript,manuscript/controlled correction,Stratified Acute Care global chi-square,39.741425268015966,39.741,39.741,PASS
manuscript,manuscript/controlled correction,Stratified Acute Care global P,1.6838254274221994e-07,<.001,<.001,PASS
manuscript,manuscript/controlled correction,Stratified Acute Care Profile 5–3 estimate,0.20106081084030475,0.20,0.20,PASS
manuscript,manuscript/controlled correction,Stratified Acute Care Profile 5–3 P,0.3434634331233829,.343,.343,PASS
manuscript,manuscript/controlled correction,Stratified Critical Access global chi-square,1.7380753838287653,1.738,1.738,PASS
manuscript,manuscript/controlled correction,Stratified Critical Access global P,0.8840684235869699,.884,.884,PASS
manuscript,manuscript/controlled correction,Stratified Critical Access Profile 5–3 estimate,0.7984408788861994,0.80,0.80,PASS
manuscript,manuscript/controlled correction,Stratified Critical Access Profile 5–3 P,0.40850371782909234,.409,.409,PASS
supplement,Supplement/controlled correction,D1 global F,5.818811913988377,5.818812,5.818812,PASS
supplement,Supplement/controlled correction,D1 global denominator df,51154232.43249276,"51,154,232.43","51,154,232.43",PASS
supplement,Supplement/controlled correction,D1 global P,2.2222956675897987e-05,.0000222,.0000222,PASS
supplement,Supplement/controlled correction,D1 interaction F,1.4383288024759004,1.438329,1.438329,PASS
supplement,Supplement/controlled correction,D1 interaction denominator df,33301458.116917167,"33,301,458.12","33,301,458.12",PASS
supplement,Supplement/controlled correction,D1 interaction P,0.2067732439758611,.206773,.206773,PASS
supplement,Supplement/controlled correction,State-cluster global small-sample P,0.02304210146595906,.023042,.023042,PASS
supplement,Supplement/controlled correction,State-cluster Profile 5–3 small-sample P,0.3372850939739311,.337285,.337285,PASS
supplement,Supplement/controlled correction,Flexible-size global P,0.0002519161771561293,.0002519,.0002519,PASS
supplement,Supplement/controlled correction,Flexible-size Profile 5–3 estimate,0.23098096214075525,0.230981,0.230981,PASS
supplement,Supplement/controlled correction,Flexible-size Profile 5–3 P,0.2928566249486474,.292857,.292857,PASS
supplement,Supplement/controlled correction,Flexible-size interaction P,0.1909058812119575,.190906,.190906,PASS
manuscript,Limitations,Ownership comparison hospitals,2600,2600,"2,600",PASS
manuscript,Limitations,Ownership agreement hospitals,1588,1588,"1,588",PASS
manuscript,Limitations,Ownership agreement percentage,61.1,61.1%,61.1%,PASS
manuscript,Table 3,2025-only outcome N,2092,2092,"2,092",PASS
supplement,Table S8,Flexible adjusted mean profile 3 CI high,87.14178037143783,87.141780,87.141780,PASS
supplement,Table S8,Flexible adjusted mean profile 5 CI low,86.72133653604371,86.721337,86.721337,PASS
supplement,Table S8,Flexible CAH Profile 5–3 CI high,2.524926987743945,2.524927,2.524927,PASS
